"","xh","r","p","fisrtYear","endYear","r_nino","p_nino","code","code_simple","lon","lat"
"196",395,-0.281979345389689,0.0779324706770926,1871,2007,0.103976036504778,0.523158760049525,"nepa043","nepa043",85.38,28.25
"197",396,-0.0772264602820252,0.635754105340358,1793,2012,-0.0149240573904404,0.927174781768744,"nepa044","nepa044",81.13,29.38
"198",397,-0.187311908150625,0.247117975555051,1678,2012,0.0748442120097697,0.646240667866776,"nepa045","nepa045",81.13,29.4
"199",398,-0.187805212898646,0.245852836821558,1856,2010,0.117197100578595,0.471399929470037,"nepa046","nepa046",84.86,28.52
"200",399,0.110701065192478,0.496486444340669,1938,2012,0.0647837421196279,0.691254234039793,"nepa047","nepa047",83.61,28.65
"201",400,0.262459869055637,0.101812114805075,1937,2012,-0.214469384172482,0.183869047494368,"nepa048","nepa048",83.61,28.64
"202",401,-0.0055718187099137,0.972779814849466,1937,2012,-0.322982471341023,0.0420739232383778,"nepa049","nepa049",83.66,28.65
"203",402,0.0952526426846891,0.558776701907616,1907,2012,-0.357621726556679,0.0234769189860777,"nepa050","nepa050",83.61,28.61
"204",403,-0.240367347257441,0.135172364708828,1896,2013,0.271766031245209,0.089811974602779,"nepa051","nepa051",84.18,28.6
"205",404,-0.147392123106199,0.364089212417001,1902,2013,0.0320255230612233,0.844473495631843,"nepa052","nepa052",84.174,28.6
"206",405,-0.150644771281668,0.353480586915103,1834,2013,-0.0302694825337551,0.852905286206816,"nepa053","nepa053",84.17,28.59
"207",406,-0.243809012582365,0.129501716024964,1877,2011,0.204804084054164,0.204901843304611,"nepa054","nepa054",86.85,27.95
"208",407,-0.168268849045607,0.299315321810252,1904,2011,-0.177823666584619,0.2723046855581,"nepa055","nepa055",86.78,27.85
"209",408,-0.387390873011116,0.0135238095860243,1952,2015,0.456503519363487,0.00306804952973431,"nepa056","nepa056",86.02,27.5
"210",409,-0.193812160725568,0.230796701850467,1945,2015,-0.0742019172558527,0.649079719544416,"nepa057","nepa057",87.14,27.14
"211",410,-0.35265102291231,0.0256226768563093,1921,2016,0.318972953339295,0.0448417087330709,"nepa058","nepa058",86.56,27.58
"212",411,-0.515879884620052,0.000656512307857937,1944,2016,0.459563316222605,0.00285225059675802,"nepa059","nepa059",86.52,27.49
"213",412,-0.329017427875803,0.0381709841964421,1950,2015,0.25207843354438,0.116603653823096,"nepa060","nepa060",86.7,26.97
"214",413,-0.340678790279472,0.0314659501217781,1928,2015,0.350412211029384,0.0266409798402631,"nepa061","nepa061",86.23,27.43
"215",414,-0.0278463969970993,0.864566307316989,1840,2013,0.0359046107830138,0.825909488955792,"npl062","npl062",82.064,29.527
"216",415,-0.615600582292531,2.35930361082406e-05,1802,2013,0.410935231786026,0.0084370231725162,"npl063","npl063",82.064,29.527
"217",416,-0.358853968680614,0.0229687896003134,1884,2013,0.241962790848138,0.132521168713401,"npl064","npl064",82.064,29.527
"218",417,-0.403226321076532,0.00988212017818258,1700,2017,0.461480625158659,0.00272390963684741,"pak042","pak042",71.8059,35.3334
"219",435,-0.260094308117196,0.105049335610388,1600,2005,0.0636677930986835,0.696316045748418,"paki018","paki018",74.8,35.3333
"220",436,-0.322641814077291,0.0423035512798477,1790,2007,0.23727741804596,0.140418523551661,"paki019","paki019",74.0333,35.1667
"221",437,-0.182953781451981,0.258484998633527,1709,2006,0.196676834491835,0.2238428596352,"paki020","paki020",71.6333,35.6833
"222",438,-0.284917068250873,0.0747536598695155,1624,2006,0.0837611243150047,0.607351288566225,"paki021","paki021",71.6333,35.6833
"223",439,-0.187631434886163,0.246298012935484,1711,2006,0.136912334436365,0.399547816369033,"paki022","paki022",71.7333,35.9
"224",440,-0.237789810648682,0.139538332925005,1527,2006,0.0941722617888055,0.563265295044108,"paki023","paki023",71.7333,35.9
"225",441,-0.11572003960737,0.477044412774863,1681,2005,0.285948862634114,0.0736616336806998,"paki024","paki024",74.5833,35.0333
"226",442,-0.459057587738126,0.00288697350764488,1653,2007,0.279240528519111,0.0809902879501878,"paki025","paki025",74.7833,35.45
"227",443,-0.527729410279843,0.000466183708768367,1790,2007,0.391744686606095,0.0124242263016564,"paki026","paki026",74.5,35.5333
"228",444,-0.0588515650184553,0.718308680590544,1532,2006,-0.0660062618819466,0.685724202366168,"paki027","paki027",71.9333,35.35
"229",445,-0.485977363349794,0.0014770798444248,1755,2007,0.306316721519688,0.0545580194824074,"paki028","paki028",74.1167,35.4
"230",446,-0.41854299268328,0.00719258484262594,1550,2008,0.481537484281043,0.00165589508340443,"paki029","paki029",74.3333,35.8333
"231",447,-0.0362939959032705,0.824050998174892,1770,2008,0.297156583274018,0.0625892939949525,"paki030","paki030",74.1833,35.8833
"232",448,-0.493537345843664,0.00121159890431685,1504,2007,0.319731820640873,0.0443068508300411,"paki031","paki031",74.0833,35.5
"233",449,-0.0761869731931739,0.640321423810103,1828,2005,0.130568877492249,0.421945374949483,"paki032","paki032",73.3833,34.0333
"234",450,-0.402041707403679,0.0101219400869486,1850,2007,0.268722973480784,0.0936091503531356,"paki033","paki033",74.75,35.5
"235",451,-0.376521922333381,0.0166343637016927,1824,2003,0.185686492016118,0.251317477338987,"paki034","paki034",74.75,35.5
"236",452,0.0688712795731788,0.672827945396872,1530,2009,-0.144338847411913,0.374219406533549,"paki035","paki035",74.1833,36.15
"237",453,-0.158701222893508,0.328022890476773,1490,2005,0.347821251376851,0.0278610972187559,"paki036","paki036",74.1833,36.15
"238",454,-0.220469763244045,0.17161050345555,1833,2006,0.209496835383044,0.194489471185941,"paki037","paki037",71.5333,35.0333
"239",455,-0.415231473989286,0.00771334345211255,1751,2007,0.304326887269677,0.0562284240619436,"paki038","paki038",73.5333,35.65
"240",456,-0.0991091203995589,0.54289193593476,1708,2007,-0.0994079797256606,0.541670018745538,"paki039","paki039",70.7833,35
"241",457,-0.311100699622402,0.0507042999022516,1745,2005,0.192842111800052,0.233184481176807,"paki040","paki040",71.8,35.35
"242",458,-0.213645433267733,0.185599730305843,1612,2017,0.209091481167214,0.195373881883245,"paki041","paki041",71.48,35.36
"243",462,-0.123462846705509,0.447853867245343,1906,2013,0.14773342298868,0.362967166657387,"rus315","rus315",39.1637,57.2524
"244",463,-0.153832007470953,0.343269370190587,1843,2011,0.235483281540849,0.143532806965404,"rus316","rus316",41.57085,43.298383
